"Datum";"+A/73068189 [kW]";"Status";
"04.01.2025 03:30:00";1,832;"namìøená data OK";
"04.01.2025 03:45:00";1,982;"namìøená data OK";
"04.01.2025 04:00:00";1,987;"namìøená data OK";
"04.01.2025 04:15:00";1,777;"namìøená data OK";
"04.01.2025 04:30:00";1,687;"namìøená data OK";
"04.01.2025 04:45:00";1,936;"namìøená data OK";
"04.01.2025 05:00:00";1,845;"namìøená data OK";
"04.01.2025 05:15:00";1,882;"namìøená data OK";
"04.01.2025 05:30:00";1,875;"namìøená data OK";
"04.01.2025 05:45:00";1,844;"namìøená data OK";
"04.01.2025 06:00:00";1,726;"namìøená data OK";
"04.01.2025 06:15:00";1,784;"namìøená data OK";
"04.01.2025 06:30:00";1,887;"namìøená data OK";
"04.01.2025 06:45:00";1,923;"namìøená data OK";
"04.01.2025 07:00:00";1,824;"namìøená data OK";
"04.01.2025 07:15:00";1,701;"namìøená data OK";
"04.01.2025 07:30:00";1,894;"namìøená data OK";
"04.01.2025 07:45:00";1,846;"namìøená data OK";
"04.01.2025 08:00:00";1,931;"namìøená data OK";
"04.01.2025 08:15:00";1,866;"namìøená data OK";
"04.01.2025 08:30:00";1,808;"namìøená data OK";
"04.01.2025 08:45:00";1,513;"namìøená data OK";
"04.01.2025 09:00:00";1,587;"namìøená data OK";
"04.01.2025 09:15:00";1,554;"namìøená data OK";
"04.01.2025 09:30:00";1,524;"namìøená data OK";
"04.01.2025 09:45:00";1,439;"namìøená data OK";
"04.01.2025 10:00:00";0,839;"namìøená data OK";
"04.01.2025 10:15:00";1,255;"namìøená data OK";
"04.01.2025 10:30:00";0,925;"namìøená data OK";
"04.01.2025 10:45:00";0,146;"namìøená data OK";
"04.01.2025 11:00:00";0,001;"namìøená data OK";
"04.01.2025 11:15:00";0,006;"namìøená data OK";
"04.01.2025 11:30:00";0,082;"namìøená data OK";
"04.01.2025 11:45:00";0;"namìøená data OK";
"04.01.2025 12:00:00";0;"namìøená data OK";
"04.01.2025 12:15:00";0;"namìøená data OK";
"04.01.2025 12:30:00";0,13;"namìøená data OK";
"04.01.2025 12:45:00";0,293;"namìøená data OK";
"04.01.2025 13:00:00";0,954;"namìøená data OK";
"04.01.2025 13:15:00";0,252;"namìøená data OK";
"04.01.2025 13:30:00";0,576;"namìøená data OK";
"04.01.2025 13:45:00";1,026;"namìøená data OK";
"04.01.2025 14:00:00";1,282;"namìøená data OK";
"04.01.2025 14:15:00";1,1;"namìøená data OK";
"04.01.2025 14:30:00";1,139;"namìøená data OK";
"04.01.2025 14:45:00";1,359;"namìøená data OK";
"04.01.2025 15:00:00";1,428;"namìøená data OK";
"04.01.2025 15:15:00";1,426;"namìøená data OK";
"04.01.2025 15:30:00";1,48;"namìøená data OK";
"04.01.2025 15:45:00";1,685;"namìøená data OK";
"04.01.2025 16:00:00";1,625;"namìøená data OK";
"04.01.2025 16:15:00";1,568;"namìøená data OK";
"04.01.2025 16:30:00";1,64;"namìøená data OK";
"04.01.2025 16:45:00";1,807;"namìøená data OK";
"04.01.2025 17:00:00";1,705;"namìøená data OK";
"04.01.2025 17:15:00";1,694;"namìøená data OK";
"04.01.2025 17:30:00";1,745;"namìøená data OK";
"04.01.2025 17:45:00";1,653;"namìøená data OK";
"04.01.2025 18:00:00";1,69;"namìøená data OK";
"04.01.2025 18:15:00";1,804;"namìøená data OK";
"04.01.2025 18:30:00";1,913;"namìøená data OK";
"04.01.2025 18:45:00";1,688;"namìøená data OK";
"04.01.2025 19:00:00";1,762;"namìøená data OK";
"04.01.2025 19:15:00";1,777;"namìøená data OK";
"04.01.2025 19:30:00";1,889;"namìøená data OK";
"04.01.2025 19:45:00";1,785;"namìøená data OK";
"04.01.2025 20:00:00";1,784;"namìøená data OK";
"04.01.2025 20:15:00";1,828;"namìøená data OK";
"04.01.2025 20:30:00";1,756;"namìøená data OK";
"04.01.2025 20:45:00";1,805;"namìøená data OK";
"04.01.2025 21:00:00";1,81;"namìøená data OK";
"04.01.2025 21:15:00";1,852;"namìøená data OK";
"04.01.2025 21:30:00";1,706;"namìøená data OK";
"04.01.2025 21:45:00";1,881;"namìøená data OK";
"04.01.2025 22:00:00";1,973;"namìøená data OK";
"04.01.2025 22:15:00";2,049;"namìøená data OK";
